ANP,Location,Site code,Sensor,Manufacturer,Model,Installation date,Installation status,Latitude,Longitude,,,,
RBRL,San Felipe,RBRL-SF-01,Forest survey,,,,Upcoming,21.56712885,-88.21504083,,,,
RBRL,San Felipe,RBRL-SF-01,Dron Lidar,,,05/26/2025,Executed,21.56712885,-88.21504083,,,,
RBRL,San Felipe,RBRL-SF-01,Flux Tower,,,,Upcoming,21.56712885,-88.21504083,,,,
RBRL,San Felipe,RBRL-SF-02,Soil sample,,,,Upcoming,21.58153986,-88.22482981,,,,
RBRL,San Felipe,RBRL-SF-02,Forest survey,,,,Upcoming,21.58153986,-88.22482981,,,,
RBRL,San Felipe,RBRL-SF-02,Dron Lidar,,,,Upcoming,21.58153986,-88.22482981,,,,
RBRL,San Felipe,RBRL-SF-02,Weather station,Davis Instrument,Vantage Pro2,08/20/2024,Installed,21.581537,-88.224852,,,,
RBRL,San Felipe,RBRL-SF-03,Weather station,Ambient Weather,WS2902,08/13/2024,Installed,21.568306,-88.234104,,,,
RBRL,San Felipe,RBRL-SF-03,Weather station,Ambient Weather,WS2902,08/13/2024,Installed,21.56665,-88.234177,,,,
RBRL,San Felipe,RBRL-SF-03,Weather station,Ambient Weather,WS2902,08/13/2024,Installed,21.563129,-88.234326,,,,
RBRL,San Felipe,RBRL-SF-03,Weather station,Ambient Weather,WS2902,08/13/2024,Installed,21.561813,-88.232771,,,,
RBRL,San Felipe,RBRL-SF-04,Underwater datalogger,Van Essen Instruments,CTD-Diver,02/19/2025,Installed,21.568923,-88.216933,,,,
RBRL,San Felipe,RBRL-SF-04,Soil sample,,,,Upcoming,21.56908651,-88.21704183,,,,
RBRL,San Felipe,RBRL-SF-04,Forest survey,,,,Upcoming,21.56908651,-88.21704183,,,,
RBRL,San Felipe,RBRL-SF-04,Dron Lidar,,,05/26/2025,,21.56908651,-88.21704183,,,,
RBRL,San Felipe,RBRL-SF-06,Underwater datalogger,Van Essen Instruments,CTD-Diver,02/19/2025,Relocated,21.566427,-88.21361,,,,
RBRL,San Felipe,RBRL-SF-08,Current profiler,Nortek,Eco,05/30/2025,Installed,21.567608,-88.215227,,,,
RBRL,San Felipe,RBRL-SF-08,Underwater datalogger,Van Essen Instruments,CTD-Diver,05/30/2025,Installed,21.567608,-88.215227,,,,
REDB,Dzilam de Bravo,REDB-DB-01,Underwater datalogger,Van Essen Instruments,CTD-Diver,12/16/2024,Installed,21.394843,-88.862034,,,,
REDB,Dzilam de Bravo,REDB-DB-01,Weather station,Davis Instrument,Vantage Pro2,12/20/2024,Installed,21.394351,-88.86268222,,,,
REDB,Dzilam de Bravo,REDB-DB-02,Weather station,Davis Instrument,Vantage Pro2,12/20/2024,Installed,21.389927,-88.862775,,,,
